,max_depth,n_estimators,eta,min_child,subsample,gamma,lambda,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae
0,1,3,0.3,0,1,0,0,6.3941,0.18953,6.33192,0.33974
1,2,3,0.3,0,1,0,0,6.37674,0.18609,6.50194,0.34261
2,3,3,0.3,0,1,0,0,6.37086,0.18348,6.7066,0.34172
3,4,3,0.3,0,1,0,0,6.36674,0.18225,7.26748,0.11661
4,5,3,0.3,0,1,0,0,6.36318,0.18154,7.76212,0.16999
5,1,10,0.3,0,1,0,0,6.37357,0.18451,6.40705,0.31086
6,2,10,0.3,0,1,0,0,6.36325,0.18218,6.81105,0.23856
7,3,10,0.3,0,1,0,0,6.3565,0.17895,7.61444,0.04405
8,4,10,0.3,0,1,0,0,6.35008,0.17768,8.50994,0.03849
9,5,10,0.3,0,1,0,0,6.3408,0.17718,9.52149,0.13833
10,1,3,0.001,0,1,0,0,6.42111,0.19718,6.31382,0.34188
11,2,3,0.001,0,1,0,0,6.42094,0.19713,6.31324,0.34181
12,3,3,0.001,0,1,0,0,6.4209,0.19712,6.31282,0.34168
13,4,3,0.001,0,1,0,0,6.42086,0.19711,6.31232,0.3417
14,5,3,0.001,0,1,0,0,6.42084,0.19711,6.31196,0.34152
15,1,10,0.001,0,1,0,0,6.42081,0.19709,6.31224,0.34166
16,2,10,0.001,0,1,0,0,6.42027,0.19695,6.31056,0.3415
17,3,10,0.001,0,1,0,0,6.42012,0.19691,6.3095,0.34103
18,4,10,0.001,0,1,0,0,6.41998,0.19688,6.30812,0.34097
19,5,10,0.001,0,1,0,0,6.41992,0.19686,6.30726,0.34036
20,1,3,0.3,0,1,0,100,6.39411,0.18954,6.31502,0.34491
21,2,3,0.3,0,1,0,100,6.37674,0.18609,6.3633,0.34521
22,3,3,0.3,0,1,0,100,6.37087,0.18348,6.42844,0.33554
23,4,3,0.3,0,1,0,100,6.36677,0.18226,6.48602,0.3408
24,5,3,0.3,0,1,0,100,6.36332,0.1815,6.54273,0.36047
25,1,10,0.3,0,1,0,100,6.37357,0.18451,6.34279,0.34182
26,2,10,0.3,0,1,0,100,6.36324,0.1822,6.46825,0.35522
27,3,10,0.3,0,1,0,100,6.35625,0.18058,6.6229,0.35933
28,4,10,0.3,0,1,0,100,6.34838,0.17824,6.74743,0.39108
29,5,10,0.3,0,1,0,100,6.34174,0.17778,6.91676,0.36878
30,1,3,0.001,0,1,0,100,6.42111,0.19718,6.3137,0.34191
31,2,3,0.001,0,1,0,100,6.42094,0.19713,6.31296,0.3419
32,3,3,0.001,0,1,0,100,6.4209,0.19712,6.31252,0.34173
33,4,3,0.001,0,1,0,100,6.42086,0.19711,6.31214,0.34162
34,5,3,0.001,0,1,0,100,6.42084,0.19711,6.31206,0.34159
35,1,10,0.001,0,1,0,100,6.42081,0.19709,6.31185,0.34175
36,2,10,0.001,0,1,0,100,6.42027,0.19695,6.30964,0.34169
37,3,10,0.001,0,1,0,100,6.42012,0.19691,6.30832,0.34115
38,4,10,0.001,0,1,0,100,6.41998,0.19688,6.30754,0.34118
39,5,10,0.001,0,1,0,100,6.41992,0.19686,6.30706,0.34096
40,1,3,0.3,0,1,100,0,6.3941,0.18953,6.33192,0.33974
41,2,3,0.3,0,1,100,0,6.37674,0.18609,6.5022,0.34234
42,3,3,0.3,0,1,100,0,6.37086,0.18348,6.69744,0.35087
43,4,3,0.3,0,1,100,0,6.36674,0.18225,7.08496,0.2577
44,5,3,0.3,0,1,100,0,6.36318,0.18154,7.63,0.32341
45,1,10,0.3,0,1,100,0,6.37357,0.18451,6.40705,0.31086
46,2,10,0.3,0,1,100,0,6.36325,0.18218,6.80564,0.24397
47,3,10,0.3,0,1,100,0,6.3565,0.17895,7.42778,0.22846
48,4,10,0.3,0,1,100,0,6.35008,0.17768,8.0191,0.40675
49,5,10,0.3,0,1,100,0,6.3408,0.17718,9.20176,0.24891
50,1,3,0.001,0,1,100,0,6.42111,0.19718,6.31382,0.34188
51,2,3,0.001,0,1,100,0,6.42094,0.19713,6.31324,0.34181
52,3,3,0.001,0,1,100,0,6.4209,0.19712,6.31282,0.34168
53,4,3,0.001,0,1,100,0,6.42086,0.19711,6.31232,0.34171
54,5,3,0.001,0,1,100,0,6.42084,0.19711,6.31194,0.34153
55,1,10,0.001,0,1,100,0,6.42081,0.19709,6.31224,0.34166
56,2,10,0.001,0,1,100,0,6.42027,0.19695,6.31056,0.3415
57,3,10,0.001,0,1,100,0,6.42012,0.19691,6.3095,0.34103
58,4,10,0.001,0,1,100,0,6.41998,0.19688,6.30811,0.34099
59,5,10,0.001,0,1,100,0,6.41992,0.19686,6.30724,0.34036
60,1,3,0.3,0,1,100,100,6.39411,0.18954,6.31502,0.34491
61,2,3,0.3,0,1,100,100,6.37674,0.18609,6.3633,0.34521
62,3,3,0.3,0,1,100,100,6.37087,0.18348,6.4206,0.33873
63,4,3,0.3,0,1,100,100,6.36677,0.18226,6.4629,0.35074
64,5,3,0.3,0,1,100,100,6.36332,0.1815,6.54084,0.36058
65,1,10,0.3,0,1,100,100,6.37357,0.18451,6.34279,0.34182
66,2,10,0.3,0,1,100,100,6.36324,0.1822,6.46769,0.35578
67,3,10,0.3,0,1,100,100,6.35625,0.18058,6.62756,0.35798
68,4,10,0.3,0,1,100,100,6.34838,0.17824,6.76672,0.3657
69,5,10,0.3,0,1,100,100,6.34174,0.17778,6.91509,0.3772
70,1,3,0.001,0,1,100,100,6.42111,0.19718,6.3137,0.34191
71,2,3,0.001,0,1,100,100,6.42094,0.19713,6.31296,0.3419
72,3,3,0.001,0,1,100,100,6.4209,0.19712,6.31252,0.34173
73,4,3,0.001,0,1,100,100,6.42086,0.19711,6.31214,0.34162
